BoardGameRank,2018-10-06,2018-10-13,2018-10-20,2018-10-27,2018-11-03,2018-11-09,2018-11-17,2018-11-24,2018-12-01,2018-12-08,2018-12-15,2018-12-22,2018-12-29,2019-01-05,2019-01-12,2019-01-19,2019-01-26,2019-02-02,2019-02-09,2019-02-16,2019-02-23,2019-03-02,2019-03-09,2019-03-16,2019-03-23,2019-03-30,2019-04-06,2019-04-13,2019-04-20,2019-04-27,2019-05-04,2019-05-11,2019-05-18,2019-05-25,2019-06-01,2019-06-08,2019-06-15,2019-06-22,2019-06-29,2019-07-06,2019-07-13,2019-07-20,2019-07-27,2019-08-03,2019-08-10,2019-08-17,2019-08-24,2019-08-31,2019-09-07,2019-09-14,2019-09-21,2019-09-28,2019-10-05,2019-10-12,2019-10-19,2019-10-26,2019-11-02,2019-11-09,2019-11-16,2019-11-23,2019-11-30,2019-12-07,2019-12-14,2019-12-21,2019-12-28,2020-01-04,2020-01-11,2020-01-18,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22
1,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430
2,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936
3,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517
4,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791
5,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078
6,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,224517,12333,12333,12333,12333,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,291457,291457,291457,291457,291457,291457,291457,291457,291457,291457,291457,291457,291457
7,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,233078,220308,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,220308,220308,220308,187645,220308,220308,220308,220308,187645,187645,187645,187645,187645,187645,187645,187645,220308,220308,220308,220308,220308,187645,220308,220308,220308,220308,220308,220308,220308,220308,220308,291457,291457,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028
8,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,233078,233078,233078,233078,220308,233078,220308,220308,220308,220308,220308,220308,220308,220308,220308,224517,224517,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,12333,12333,12333,12333,12333,12333,12333,12333,12333,220308,220308,220308,220308,220308,187645,187645,187645,220308,187645,187645,187645,187645,220308,220308,220308,220308,220308,220308,220308,220308,187645,187645,187645,187645,187645,220308,187645,187645,187645,187645,187645,187645,187645,187645,291457,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308
9,120677,120677,120677,120677,120677,120677,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,224517,224517,224517,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,291457,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645
10,193738,193738,193738,193738,193738,193738,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,224517,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,291457,291457,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333
