game_id,name,boardgamedesigner,boardgameartist,yearpublished,minplayers,maxplayers,minage,playingtime,minplaytime,maxplaytime,boardgamepublisher,boardgamecategory,boardgamefamily,boardgamemechanic,AbstractGameRank_min,AbstractGameRank_min_date,AbstractGameRank_max,AbstractGameRank_max_date,first_date_in_ref,BoardGameRank_min,BoardGameRank_min_date,BoardGameRank_max,BoardGameRank_max_date,ChildrensGameRank_min,ChildrensGameRank_min_date,ChildrensGameRank_max,ChildrensGameRank_max_date,CustomizableRank_min,CustomizableRank_min_date,CustomizableRank_max,CustomizableRank_max_date,FamilyGameRank_min,FamilyGameRank_min_date,FamilyGameRank_max,FamilyGameRank_max_date,PartyGameRank_min,PartyGameRank_min_date,PartyGameRank_max,PartyGameRank_max_date,StrategyGameRank_min,StrategyGameRank_min_date,StrategyGameRank_max,StrategyGameRank_max_date,ThematicRank_min,ThematicRank_min_date,ThematicRank_max,ThematicRank_max_date,WarGameRank_min,WarGameRank_min_date,WarGameRank_max,WarGameRank_max_date,bgg_url
174430,Gloomhaven,['Isaac Childres'],"['Alexandr Elichev', 'Josh T. McDowell', 'Alvaro Nebot']",2017,1,4,14,120,60,120,"['Cephalofair Games', 'Albi', 'Albi Polska', 'Arclight', 'Asmodee', 'Feuerland Spiele', 'Galápagos Jogos', 'Games Warehouse', 'Gém Klub Kft.', 'Hobby World', 'Korea Boardgames Co., Ltd.', 'MYBG Co., Ltd.']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Creatures: Demons', 'Creatures: Dragons', 'Creatures: Monsters', 'Crowdfunding: Kickstarter', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Players: Games with Solitaire Rules']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Modular Board', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",,,,,2018-10-06,1,2018-10-06,1,2018-10-06,,,,,,,,,,,,,,,,,1,2018-10-06,1,2018-10-06,1,2018-10-06,1,2018-10-06,,,,,https://boardgamegeek.com/boardgame/174430
161936,Pandemic Legacy: Season 1,"['Rob Daviau', 'Matt Leacock']",['Chris Quilliams'],2015,2,4,13,60,60,60,"['Z-Man Games, Inc.', 'Asterion Press', 'Devir', 'Filosofia Éditions', 'Gém Klub Kft.', 'Hobby Japan', 'Jolly Thinkers', 'Korea Boardgames Co., Ltd.', 'Lacerta', 'Lifestyle Boardgames Ltd', 'MINDOK']","['Environmental', 'Medical']","['Components: Map (Global Scale)', 'Game: Pandemic', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Medical: Diseases', 'Region: The World', 'Versions & Editions: Legacy Versions of Non-Legacy Games']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']",,,,,2018-10-06,2,2018-10-06,2,2018-10-06,,,,,,,,,,,,,,,,,2,2018-10-06,2,2018-10-06,2,2018-10-06,2,2018-10-06,,,,,https://boardgamegeek.com/boardgame/161936
224517,Brass: Birmingham,"['Gavan Brown', 'Matt Tolman', 'Martin Wallace']","['Lina Cossette', 'David Forest', 'Damien Mammoliti']",2018,2,4,14,120,60,120,"['Roxley', 'Arclight', 'BoardM Factory', 'Conclave Editora', 'CrowD Games', 'Dexker Games', 'Funforge', 'Gém Klub Kft.', 'Ghenos Games', 'Giant Roc', 'Lord of Boards', 'Maldito Games', 'PHALANX', 'TLAMA games']","['Economic', 'Industry / Manufacturing', 'Trains', 'Transportation']","['Cities: Birmingham (England)', 'Country: England', 'Crowdfunding: Kickstarter', 'Food & Drink: Beer', 'Game: Brass', 'History: Industrial Revolution', 'Organizations: The Game Artisans of Canada', 'Theme: Canals']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Score-and-Reset Game', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",,,,,2018-10-06,3,2020-06-06,161,2018-10-06,,,,,,,,,,,,,,,,,3,2020-01-04,59,2018-10-06,,,,,,,,,https://boardgamegeek.com/boardgame/224517
167791,Terraforming Mars,['Jacob Fryxelius'],['Isaac Fryxelius'],2016,1,5,12,120,120,120,"['FryxGames', 'Arclight', 'Brädspel.se', 'Fantasmagoria', 'Ghenos Games', 'Green Elephant Games', 'Intrafin Games', 'Kilogames', 'Korea Boardgames Co., Ltd.', 'Lautapelit.fi', 'Lavka Games', 'Lex Games', 'Maldito Games', 'MeepleBR', 'MINDOK', 'MYBG Co., Ltd.', 'NeoTroy Games', 'Pridemage Games', 'Rebel Sp. z o.o.', 'Reflexshop', 'Schwerkraft-Verlag', 'Siam Board Games', 'Stronghold Games', 'SuperHeated Neurons']","['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Game: Terraforming Mars', 'Mechanism: Tableau Building', 'Players: Games with Solitaire Rules', 'Series: Future Timeline (Fryxgames)', ""Space: Earth's Solar System"", 'Space: Mars']","['Drafting', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']",,,,,2018-10-06,3,2019-08-10,4,2018-10-06,,,,,,,,,,,,,,,,,4,2018-10-06,6,2021-04-10,,,,,,,,,https://boardgamegeek.com/boardgame/167791
233078,Twilight Imperium: Fourth Edition,"['Dane Beltrami', 'Corey Konieczka', 'Christian T. Petersen']",['Scott Schomburg'],2017,3,6,14,480,240,480,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Arclight', 'Asmodee', 'Asterion Press', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Hobby World', 'Playfun Games', 'sternenschimmermeer']","['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Components: Hexagonal Tiles', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Game: Twilight Imperium', 'Mechanism: 4X']","['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Voting']",,,,,2018-10-06,5,2020-11-14,20,2018-10-06,,,,,,,,,,,,,,,,,4,2020-11-14,11,2018-10-06,3,2020-11-14,4,2021-02-27,,,,,https://boardgamegeek.com/boardgame/233078
291457,Gloomhaven: Jaws of the Lion,['Isaac Childres'],"['Francesca Baerald', 'David Demaret', 'Alexandr Elichev']",2020,1,4,14,120,30,120,"['Cephalofair Games', 'Albi Polska', 'Asmodee Italia', 'Feuerland Spiele', 'Korea Boardgames Co., Ltd.']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Book as Board', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Players: Games with Solitaire Rules']","['Action Queue', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",,,,,2020-06-27,6,2021-02-27,2247,2020-06-27,,,,,,,,,,,,,,,,,5,2021-04-10,1019,2020-06-27,3,2021-02-27,17,2020-09-05,,,,,https://boardgamegeek.com/boardgame/291457
182028,Through the Ages: A New Story of Civilization,['Vlaada Chvátil'],"['Filip Murmak', 'Radim Pech', 'Jakub Politzer', 'Milan Vavroň']",2015,2,4,14,120,120,120,"['Czech Games Edition', 'Cranio Creations', 'Devir', 'DiceTree Games', 'Eagle-Gryphon Games', 'GaGa Games', 'Gém Klub Kft.', 'HeidelBÄR Games', 'Heidelberger Spieleverlag', 'IELLO', 'MINDOK', 'New Games Order, LLC', 'One Moment Games', 'Rebel Sp. z o.o.']","['Card Game', 'Civilization', 'Economic']","['Digital Implementations: Board Game Arena', 'Game: Through the Ages', 'Mechanism: Tableau Building']","['Action Points', 'Auction/Bidding', 'Auction: Dutch', 'Card Drafting', 'Events', 'Income', 'Take That']",,,,,2018-10-06,3,2018-10-06,7,2021-02-27,,,,,,,,,,,,,,,,,3,2018-10-06,8,2021-02-06,,,,,,,,,https://boardgamegeek.com/boardgame/182028
220308,Gaia Project,"['Jens Drögemüller', 'Helge Ostertag']",['Dennis Lohausen'],2017,1,4,12,150,60,150,"['Feuerland Spiele', 'Capstone Games', 'Cranio Creations', 'DiceTree Games', 'Edge Entertainment', 'Game Harbor', 'Games Factory', 'Hobby World', 'Maldito Games', 'Mandala Jogos', 'Reflexshop', 'Super Meeple', 'テンデイズゲームズ (Ten Days Games)', 'White Goblin Games', 'Z-Man Games, Inc.']","['Economic', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Category: Combinatorial', 'Components: Control Boards', 'Components: Map (Interplanetary or Interstellar scale)', 'Mechanism: Tableau Building', 'Players: Games with Solitaire Rules']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",,,,,2018-10-06,7,2019-03-16,9,2019-11-09,,,,,,,,,,,,,,,,,5,2018-10-06,7,2019-11-30,,,,,,,,,https://boardgamegeek.com/boardgame/220308
187645,Star Wars: Rebellion,['Corey Konieczka'],"['Matt Allsopp', 'David Ardila', 'Balaskas', 'Tiziano Baracchi', 'Ryan Barger', 'Jorge Barrero', 'Cassandre Bolan', 'Jon Bosco', 'Matt Bradbury', 'Adam Burn', 'Alexandre Dainche', 'Christina Davis', 'Anthony Devine', 'Allen Douglas', 'Jose Mikhail Elloso', 'Tony Foti', 'Michele Frigo', 'Mariusz Gandzel', 'Zach Graves', 'Richard Hanuschek', 'Christopher Hosch', 'Andrew Johanson', 'Jeff Lee Johnson', 'Jason Juta', 'Adam Lane', 'Ignacio Bazán Lazcano', 'Ralph McQuarrie', 'Mark Molnar', 'Jake Murray', 'Ameen Naksewee', 'David Auden Nash', 'Mike Nash', 'Maciej Rebisz', 'Alexandru Sabo', 'Tony Shasteen', 'Samuel Shimota', 'Stephen Somers', 'Matthew Starbuck', 'Nicholas Stohlman', 'Angela Sung', 'Darren Tan', 'Ryan Valle', 'Jose Vega', 'VIKO', 'Magali Villeneuve', 'Jacob Walker', 'Ben Zweifel']",2016,2,4,14,240,180,240,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Asterion Press', 'Delta Vision Publishing', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Heidelberger Spieleverlag', 'Hobby World']","['Civil War', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']","['Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Movies: Star Wars']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Delayed Purchase', 'Dice Rolling', 'Hand Management', 'Team-Based Game', 'Variable Player Powers']",,,,,2018-10-06,6,2018-10-06,9,2021-02-06,,,,,,,,,,,,,,,,,6,2018-10-06,8,2019-08-17,3,2018-10-06,5,2020-11-21,,,,,https://boardgamegeek.com/boardgame/187645
12333,Twilight Struggle,"['Ananda Gupta', 'Jason Matthews']","['Viktor Csete', 'Rodger B. MacGowan', 'Chechu Nieto', 'Guillaume Ries', 'Mark Simonitch']",2005,2,2,13,180,120,180,"['GMT Games', '(Self-Published)', 'Asterion Press', 'Bard Centrum Gier', 'Chrononauts Games', 'Devir', 'DiceTree Games', 'GaGa Games', 'MINDOK', 'PHALANX', 'Udo Grebe Gamedesign', 'Wargames Club Publishing']","['Modern Warfare', 'Political', 'Wargame']","['Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Country: Soviet Union', 'Country: USA', 'Game: Twilight Struggle', 'History: Cold War', 'Players: Two Player Only Games', 'Region: The World', 'Theme: Nuclear option']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Tug of War']",,,,,2018-10-06,5,2018-10-06,10,2021-01-30,,,,,,,,,,,,,,,,,7,2018-10-06,11,2021-05-15,,,,,1,2018-10-06,1,2018-10-06,https://boardgamegeek.com/boardgame/12333
